id;nombre;departamento_id;dane_id
1003;TOLEDO;21;54820000
1044;VALLE DEL GUAMUEZ;22;86865000
951;SUCRE;26;68773000
1061;VILLA CARO;21;54871000
949;SUCRE;27;70771000
970;TARAIRA;32;97666000
950;SUCRE;10;19785000
1042;VALLE DE SAN JOSÉ;26;68855000
1043;VALLE DE SAN JUAN;28;73854000
1004;SAN JOSÉ DE TOLUVIEJO;27;70823000
1047;VALPARAÍSO;8;18860000
1049;VÉLEZ;26;68861000
1052;VENECIA;13;25506000
1053;VENTAQUEMADA;6;15861000
1057;VIANÍ;13;25867000
1058;VICTORIA;7;17867000
1062;VILLA DE LEYVA;6;15407000
1064;VILLA DEL ROSARIO;21;54874000
1065;VILLA RICA;10;19845000
1029;ÚMBITA;6;15842000
1008;TORIBÍO;10;19821000
942;SOTARÁ PAISPAMBA;10;19760000
1045;VALLEDUPAR;11;20001000
962;TADÓ;31;27787000
990;TIERRALTA;12;23807000
1015;TUCHÍN;12;23815000
1041;VALENCIA;12;23855000
952;SUESCA;13;25772000
959;SUTATAUSA;13;25781000
961;TABIO;13;25785000
1063;VILLA DE SAN DIEGO DE UBATÉ;13;25843000
932;SOLEDAD;4;08758000
936;SOPETRÁN;2;05761000
944;SUAN;4;08770000
967;TÁMESIS;2;05789000
971;TARAZÁ;2;05790000
973;TARSO;2;05792000
997;TITIRIBÍ;2;05809000
1002;TOLEDO;2;05819000
1069;VILLAMARÍA;7;17873000
1070;VILLANUEVA;5;13873000
1071;VILLANUEVA;9;85440000
1074;VILLAPINZÓN;13;25873000
1078;VILLETA;13;25875000
1080;VIRACACHÁ;6;15879000
1082;VITERBO;7;17877000
1083;YACOPÍ;13;25885000
1084;YACUANQUER;20;52885000
1077;VILLAVIEJA;17;41872000
1085;YAGUARÁ;17;41885000
1068;VILLAHERMOSA;28;73870000
1075;VILLARRICA;28;73873000
1095;ZAPAYÁN;18;47960000
1092;YUMBO;29;76892000
1093;ZAMBRANO;5;13894000
1094;ZAPATOCA;26;68895000
1101;ZONA BANANERA;18;47980000
1098;ZETAQUIRA;6;15897000
1099;ZIPACÓN;13;25898000
1100;ZIPAQUIRÁ;13;25899000
506;LETICIA;1;91001000
1073;VILLANUEVA;26;68872000
1081;VISTAHERMOSA;19;50711000
1091;YOTOCO;29;76890000
1097;ZARZAL;29;76895000
1072;VILLANUEVA;15;44874000
692;PROVIDENCIA;25;88564000
174;CARTAGENA DE INDIAS;5;13001000
1066;VILLAGARZÓN;22;86885000
569;SANTA CRUZ DE MOMPOX;5;13468000
418;GÜICÁN DE LA SIERRA;6;15332000
1017;TUNJA;6;15001000
96;BELÉN DE LOS ANDAQUÍES;8;18094000
1090;YOPAL;9;85001000
74;ATRATO;31;27050000
76;BAGADÓ;31;27073000
77;BAHÍA SOLANO;31;27075000
78;BAJO BAUDÓ;31;27077000
111;BOJAYÁ;31;27099000
186;CÉRTEGUI;31;27160000
238;CONDOTO;31;27205000
292;EL CARMEN DE ATRATO;31;27245000
308;EL LITORAL DEL SAN JUAN;31;27250000
454;JURADÓ;31;27372000
510;LLORÓ;31;27413000
554;MEDIO BAUDÓ;31;27430000
555;MEDIO SAN JUAN;31;27450000
608;NÓVITA;31;27491000
612;NUQUÍ;31;27495000
859;SAN PEDRO;27;70717000
753;RÍO QUITO;31;27600000
761;RIOSUCIO;31;27615000
1031;UNGUÍA;31;27800000
1032;UNIÓN PANAMERICANA;31;27810000
752;RÍO IRÓ;31;27580000
203;CHINÚ;12;23182000
219;CIÉNAGA DE ORO;12;23189000
254;COTORRA;12;23300000
